task_id,instruction,demo_budget,n_action_steps,successes,trials,success_rate,ci95_low,ci95_high,frozen_baseline_success_rate,delta_vs_paired_50,delta_vs_frozen_baseline
0,open the middle drawer of the cabinet,0,1,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
0,open the middle drawer of the cabinet,0,5,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
0,open the middle drawer of the cabinet,0,10,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
0,open the middle drawer of the cabinet,0,25,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
0,open the middle drawer of the cabinet,0,50,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
0,open the middle drawer of the cabinet,5,1,15,20,0.75,0.531299122381256,0.8881382985923343,0.85,0.15000000000000002,-0.09999999999999998
0,open the middle drawer of the cabinet,5,5,14,20,0.7,0.4810271816464765,0.8545227551323956,0.85,0.09999999999999998,-0.15000000000000002
0,open the middle drawer of the cabinet,5,10,20,20,1.0,0.8388748419471806,1.0,0.85,0.4,0.15000000000000002
0,open the middle drawer of the cabinet,5,25,13,20,0.65,0.43285427668523624,0.818808175898918,0.85,0.050000000000000044,-0.19999999999999996
0,open the middle drawer of the cabinet,5,50,12,20,0.6,0.3865815007622531,0.781193467627183,0.85,0.0,-0.25
0,open the middle drawer of the cabinet,10,1,7,20,0.35,0.18119182410108206,0.5671457233147638,0.75,-0.4,-0.4
0,open the middle drawer of the cabinet,10,5,12,20,0.6,0.3865815007622531,0.781193467627183,0.75,-0.15000000000000002,-0.15000000000000002
0,open the middle drawer of the cabinet,10,10,16,20,0.8,0.5839825677481064,0.919342337420202,0.75,0.050000000000000044,0.050000000000000044
0,open the middle drawer of the cabinet,10,25,17,20,0.85,0.6395811352592431,0.9476312541037835,0.75,0.09999999999999998,0.09999999999999998
0,open the middle drawer of the cabinet,10,50,15,20,0.75,0.531299122381256,0.8881382985923343,0.75,0.0,0.0
0,open the middle drawer of the cabinet,25,1,15,20,0.75,0.531299122381256,0.8881382985923343,0.85,-0.15000000000000002,-0.09999999999999998
0,open the middle drawer of the cabinet,25,5,15,20,0.75,0.531299122381256,0.8881382985923343,0.85,-0.15000000000000002,-0.09999999999999998
0,open the middle drawer of the cabinet,25,10,16,20,0.8,0.5839825677481064,0.919342337420202,0.85,-0.09999999999999998,-0.04999999999999993
0,open the middle drawer of the cabinet,25,25,15,20,0.75,0.531299122381256,0.8881382985923343,0.85,-0.15000000000000002,-0.09999999999999998
0,open the middle drawer of the cabinet,25,50,18,20,0.9,0.6989663547715128,0.9721335187862319,0.85,0.0,0.050000000000000044
1,put the wine bottle on the rack,0,1,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
1,put the wine bottle on the rack,0,5,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
1,put the wine bottle on the rack,0,10,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
1,put the wine bottle on the rack,0,25,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
1,put the wine bottle on the rack,0,50,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
1,put the wine bottle on the rack,5,1,13,20,0.65,0.43285427668523624,0.818808175898918,0.75,-0.25,-0.09999999999999998
1,put the wine bottle on the rack,5,5,13,20,0.65,0.43285427668523624,0.818808175898918,0.75,-0.25,-0.09999999999999998
1,put the wine bottle on the rack,5,10,16,20,0.8,0.5839825677481064,0.919342337420202,0.75,-0.09999999999999998,0.050000000000000044
1,put the wine bottle on the rack,5,25,13,20,0.65,0.43285427668523624,0.818808175898918,0.75,-0.25,-0.09999999999999998
1,put the wine bottle on the rack,5,50,18,20,0.9,0.6989663547715128,0.9721335187862319,0.75,0.0,0.15000000000000002
1,put the wine bottle on the rack,10,1,14,20,0.7,0.4810271816464765,0.8545227551323956,0.8,-0.15000000000000002,-0.10000000000000009
1,put the wine bottle on the rack,10,5,17,20,0.85,0.6395811352592431,0.9476312541037835,0.8,0.0,0.04999999999999993
1,put the wine bottle on the rack,10,10,16,20,0.8,0.5839825677481064,0.919342337420202,0.8,-0.04999999999999993,0.0
1,put the wine bottle on the rack,10,25,16,20,0.8,0.5839825677481064,0.919342337420202,0.8,-0.04999999999999993,0.0
1,put the wine bottle on the rack,10,50,17,20,0.85,0.6395811352592431,0.9476312541037835,0.8,0.0,0.04999999999999993
1,put the wine bottle on the rack,25,1,18,20,0.9,0.6989663547715128,0.9721335187862319,0.85,0.0,0.050000000000000044
1,put the wine bottle on the rack,25,5,16,20,0.8,0.5839825677481064,0.919342337420202,0.85,-0.09999999999999998,-0.04999999999999993
1,put the wine bottle on the rack,25,10,16,20,0.8,0.5839825677481064,0.919342337420202,0.85,-0.09999999999999998,-0.04999999999999993
1,put the wine bottle on the rack,25,25,17,20,0.85,0.6395811352592431,0.9476312541037835,0.85,-0.050000000000000044,0.0
1,put the wine bottle on the rack,25,50,18,20,0.9,0.6989663547715128,0.9721335187862319,0.85,0.0,0.050000000000000044
2,open the top drawer and put the bowl inside,0,1,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
2,open the top drawer and put the bowl inside,0,5,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
2,open the top drawer and put the bowl inside,0,10,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
2,open the top drawer and put the bowl inside,0,25,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
2,open the top drawer and put the bowl inside,0,50,0,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0
2,open the top drawer and put the bowl inside,5,1,14,20,0.7,0.4810271816464765,0.8545227551323956,0.7,-0.15000000000000002,0.0
2,open the top drawer and put the bowl inside,5,5,18,20,0.9,0.6989663547715128,0.9721335187862319,0.7,0.050000000000000044,0.20000000000000007
2,open the top drawer and put the bowl inside,5,10,16,20,0.8,0.5839825677481064,0.919342337420202,0.7,-0.04999999999999993,0.10000000000000009
2,open the top drawer and put the bowl inside,5,25,18,20,0.9,0.6989663547715128,0.9721335187862319,0.7,0.050000000000000044,0.20000000000000007
2,open the top drawer and put the bowl inside,5,50,17,20,0.85,0.6395811352592431,0.9476312541037835,0.7,0.0,0.15000000000000002
2,open the top drawer and put the bowl inside,10,1,19,20,0.95,0.763868806553258,0.9911185511992047,0.75,0.19999999999999996,0.19999999999999996
2,open the top drawer and put the bowl inside,10,5,16,20,0.8,0.5839825677481064,0.919342337420202,0.75,0.050000000000000044,0.050000000000000044
2,open the top drawer and put the bowl inside,10,10,20,20,1.0,0.8388748419471806,1.0,0.75,0.25,0.25
2,open the top drawer and put the bowl inside,10,25,18,20,0.9,0.6989663547715128,0.9721335187862319,0.75,0.15000000000000002,0.15000000000000002
2,open the top drawer and put the bowl inside,10,50,15,20,0.75,0.531299122381256,0.8881382985923343,0.75,0.0,0.0
2,open the top drawer and put the bowl inside,25,1,14,20,0.7,0.4810271816464765,0.8545227551323956,0.7,-0.10000000000000009,0.0
