step,perf/dataload_seconds,perf/samples_per_second,perf/update_seconds,system/gpu_memory_gb,train/episodes,train/epoch,train/grad_norm,train/learning_rate,train/loss,train/samples
50.0,0.167,91.0,0.184,2.85,11.0,0.0,16.142,2.6e-06,3.165,2000.0
100.0,0.003,209.0,0.15,2.86,22.0,0.0,7.701,7.6e-06,1.87,3000.0
150.0,0.003,208.0,0.151,2.86,32.0,0.01,5.053,1.3e-05,1.417,5000.0
200.0,0.003,218.0,0.144,2.87,43.0,0.01,4.055,1.8e-05,1.173,6000.0
250.0,0.003,215.0,0.146,2.86,54.0,0.01,3.526,2.3e-05,1.055,8000.0
300.0,0.003,213.0,0.147,2.86,65.0,0.01,3.244,2.8e-05,0.971,10000.0
350.0,0.003,213.0,0.147,2.86,75.0,0.02,3.706,3.3e-05,0.916,11000.0
400.0,0.003,213.0,0.147,2.87,86.0,0.02,3.499,3.8e-05,0.864,13000.0
450.0,0.003,212.0,0.148,2.86,97.0,0.02,3.655,4.3e-05,0.837,14000.0
500.0,0.003,213.0,0.147,2.86,108.0,0.02,3.354,4.8e-05,0.801,16000.0
550.0,0.003,214.0,0.147,2.86,118.0,0.03,3.68,5.3e-05,0.771,18000.0
600.0,0.003,218.0,0.144,2.86,129.0,0.03,3.295,5.8e-05,0.756,19000.0
650.0,0.003,212.0,0.148,2.86,140.0,0.03,3.609,6.3e-05,0.742,21000.0
700.0,0.003,211.0,0.148,2.86,151.0,0.03,3.191,6.8e-05,0.707,22000.0
750.0,0.003,214.0,0.146,2.86,161.0,0.04,3.566,7.3e-05,0.708,24000.0
800.0,0.004,209.0,0.149,2.86,172.0,0.04,3.187,7.8e-05,0.687,26000.0
850.0,0.003,215.0,0.146,2.86,183.0,0.04,3.25,8.3e-05,0.682,27000.0
900.0,0.003,221.0,0.142,2.86,194.0,0.04,2.913,8.8e-05,0.664,29000.0
950.0,0.003,223.0,0.141,2.86,204.0,0.05,3.169,9.3e-05,0.66,30000.0
1000.0,0.003,223.0,0.14,2.86,215.0,0.05,3.109,9.8e-05,0.656,32000.0
1050.0,0.003,217.0,0.144,2.86,226.0,0.05,2.988,0.0001,0.657,34000.0
1100.0,0.003,224.0,0.14,2.86,237.0,0.05,2.67,0.0001,0.63,35000.0
1150.0,0.003,220.0,0.143,2.86,248.0,0.06,2.799,0.0001,0.609,37000.0
1200.0,0.003,222.0,0.141,2.86,258.0,0.06,2.788,0.0001,0.611,38000.0
1250.0,0.003,218.0,0.144,2.86,269.0,0.06,2.905,0.0001,0.599,40000.0
1300.0,0.003,220.0,0.142,2.86,280.0,0.06,2.881,0.0001,0.614,42000.0
1350.0,0.003,221.0,0.142,2.86,291.0,0.06,2.531,0.0001,0.579,43000.0
1400.0,0.003,220.0,0.143,2.86,301.0,0.07,2.705,9.9e-05,0.589,45000.0
1450.0,0.003,223.0,0.141,2.86,312.0,0.07,2.497,9.9e-05,0.574,46000.0
1500.0,0.003,220.0,0.143,2.86,323.0,0.07,2.73,9.9e-05,0.591,48000.0
1550.0,0.003,218.0,0.144,2.86,334.0,0.07,2.271,9.9e-05,0.557,50000.0
1600.0,0.003,219.0,0.143,2.86,344.0,0.08,2.57,9.9e-05,0.584,51000.0
1650.0,0.003,221.0,0.142,2.86,355.0,0.08,2.531,9.9e-05,0.556,53000.0
1700.0,0.003,220.0,0.142,2.86,366.0,0.08,2.375,9.9e-05,0.553,54000.0
1750.0,0.003,221.0,0.142,2.86,377.0,0.08,2.206,9.9e-05,0.549,56000.0
1800.0,0.003,218.0,0.144,2.86,387.0,0.09,2.34,9.9e-05,0.537,58000.0
1850.0,0.003,220.0,0.142,2.86,398.0,0.09,2.334,9.9e-05,0.539,59000.0
1900.0,0.003,221.0,0.142,2.86,409.0,0.09,2.502,9.9e-05,0.55,61000.0
1950.0,0.003,219.0,0.143,2.86,420.0,0.09,2.132,9.9e-05,0.534,62000.0
2000.0,0.003,221.0,0.142,2.87,430.0,0.1,2.414,9.9e-05,0.545,64000.0
2050.0,0.003,215.0,0.146,2.87,441.0,0.1,2.31,9.9e-05,0.539,66000.0
2100.0,0.003,219.0,0.144,2.86,452.0,0.1,2.244,9.9e-05,0.535,67000.0
2150.0,0.003,221.0,0.142,2.86,463.0,0.1,2.369,9.9e-05,0.525,69000.0
2200.0,0.003,221.0,0.142,2.86,474.0,0.11,2.602,9.9e-05,0.548,70000.0
2250.0,0.003,222.0,0.142,2.87,484.0,0.11,2.245,9.9e-05,0.529,72000.0
2300.0,0.003,219.0,0.143,2.86,495.0,0.11,2.406,9.9e-05,0.523,74000.0
2350.0,0.003,219.0,0.143,2.86,506.0,0.11,2.415,9.9e-05,0.529,75000.0
2400.0,0.003,220.0,0.143,2.86,517.0,0.11,2.123,9.8e-05,0.513,77000.0
2450.0,0.003,221.0,0.142,2.87,527.0,0.12,2.091,9.8e-05,0.522,78000.0
2500.0,0.003,223.0,0.141,2.86,538.0,0.12,2.332,9.8e-05,0.516,80000.0
2550.0,0.002,218.0,0.145,2.86,549.0,0.12,1.991,9.8e-05,0.504,82000.0
2600.0,0.003,218.0,0.144,2.86,560.0,0.12,2.204,9.8e-05,0.517,83000.0
2650.0,0.003,223.0,0.141,2.86,570.0,0.13,2.114,9.8e-05,0.51,85000.0
2700.0,0.003,220.0,0.143,2.86,581.0,0.13,2.183,9.8e-05,0.508,86000.0
2750.0,0.003,222.0,0.141,2.86,592.0,0.13,2.13,9.8e-05,0.502,88000.0
2800.0,0.003,223.0,0.141,2.86,603.0,0.13,1.968,9.8e-05,0.501,90000.0
2850.0,0.003,222.0,0.142,2.86,613.0,0.14,2.068,9.8e-05,0.501,91000.0
2900.0,0.003,217.0,0.145,2.86,624.0,0.14,2.283,9.8e-05,0.529,93000.0
2950.0,0.003,214.0,0.147,2.86,635.0,0.14,1.878,9.8e-05,0.499,94000.0
3000.0,0.003,221.0,0.142,2.86,646.0,0.14,2.043,9.8e-05,0.501,96000.0
3050.0,0.003,216.0,0.145,2.86,656.0,0.15,2.091,9.8e-05,0.499,98000.0
3100.0,0.003,216.0,0.145,2.86,667.0,0.15,2.061,9.7e-05,0.497,99000.0
3150.0,0.003,213.0,0.147,2.86,678.0,0.15,2.164,9.7e-05,0.498,101000.0
3200.0,0.003,221.0,0.142,2.86,689.0,0.15,2.065,9.7e-05,0.496,102000.0
3250.0,0.003,224.0,0.14,2.86,700.0,0.16,2.018,9.7e-05,0.504,104000.0
3300.0,0.003,225.0,0.139,2.86,710.0,0.16,2.364,9.7e-05,0.483,106000.0
3350.0,0.003,220.0,0.143,2.86,721.0,0.16,2.099,9.7e-05,0.49,107000.0
3400.0,0.002,225.0,0.14,2.86,732.0,0.16,2.042,9.7e-05,0.491,109000.0
3450.0,0.003,219.0,0.143,2.86,743.0,0.17,1.902,9.7e-05,0.487,110000.0
3500.0,0.003,226.0,0.139,2.86,753.0,0.17,2.136,9.7e-05,0.494,112000.0
3550.0,0.003,219.0,0.143,2.86,764.0,0.17,1.966,9.7e-05,0.48,114000.0
3600.0,0.003,221.0,0.142,2.86,775.0,0.17,1.931,9.7e-05,0.473,115000.0
3650.0,0.003,219.0,0.143,2.86,786.0,0.17,1.986,9.7e-05,0.483,117000.0
3700.0,0.003,216.0,0.145,2.86,796.0,0.18,1.798,9.6e-05,0.476,118000.0
3750.0,0.003,221.0,0.142,2.86,807.0,0.18,1.844,9.6e-05,0.489,120000.0
3800.0,0.003,221.0,0.142,2.86,818.0,0.18,1.996,9.6e-05,0.479,122000.0
3850.0,0.003,221.0,0.142,2.86,829.0,0.18,2.051,9.6e-05,0.479,123000.0
3900.0,0.003,219.0,0.143,2.86,839.0,0.19,2.038,9.6e-05,0.483,125000.0
3950.0,0.003,220.0,0.143,2.86,850.0,0.19,2.256,9.6e-05,0.48,126000.0
4000.0,0.003,221.0,0.142,2.86,861.0,0.19,1.938,9.6e-05,0.472,128000.0
4050.0,0.003,220.0,0.142,2.86,872.0,0.19,1.959,9.6e-05,0.482,130000.0
4100.0,0.003,218.0,0.144,2.86,882.0,0.2,1.807,9.6e-05,0.46,131000.0
4150.0,0.002,221.0,0.143,2.86,893.0,0.2,1.884,9.6e-05,0.479,133000.0
4200.0,0.003,220.0,0.143,2.86,904.0,0.2,1.979,9.5e-05,0.463,134000.0
4250.0,0.003,222.0,0.141,2.86,915.0,0.2,1.928,9.5e-05,0.471,136000.0
4300.0,0.003,217.0,0.144,2.86,926.0,0.21,1.83,9.5e-05,0.474,138000.0
4350.0,0.003,217.0,0.145,2.86,936.0,0.21,2.001,9.5e-05,0.481,139000.0
4400.0,0.003,221.0,0.142,2.86,947.0,0.21,1.86,9.5e-05,0.455,141000.0
4450.0,0.003,221.0,0.142,2.86,958.0,0.21,1.97,9.5e-05,0.458,142000.0
4500.0,0.003,221.0,0.142,2.87,969.0,0.22,1.869,9.5e-05,0.473,144000.0
4550.0,0.003,218.0,0.144,2.86,979.0,0.22,1.851,9.5e-05,0.469,146000.0
4600.0,0.003,223.0,0.141,2.87,990.0,0.22,1.841,9.5e-05,0.476,147000.0
4650.0,0.003,216.0,0.145,2.86,1000.0,0.22,1.946,9.4e-05,0.461,149000.0
4700.0,0.003,219.0,0.143,2.86,1000.0,0.22,1.949,9.4e-05,0.459,150000.0
4750.0,0.003,220.0,0.143,2.86,1000.0,0.23,2.035,9.4e-05,0.464,152000.0
4800.0,0.003,218.0,0.144,2.86,1000.0,0.23,1.878,9.4e-05,0.455,154000.0
4850.0,0.003,219.0,0.144,2.86,1000.0,0.23,1.765,9.4e-05,0.459,155000.0
4900.0,0.003,220.0,0.143,2.86,1000.0,0.23,2.088,9.4e-05,0.466,157000.0
4950.0,0.003,218.0,0.144,2.86,1000.0,0.24,1.74,9.4e-05,0.467,158000.0
5000.0,0.003,219.0,0.143,2.86,1000.0,0.24,2.151,9.4e-05,0.464,160000.0
5050.0,0.003,232.0,0.135,2.87,1000.0,0.24,1.885,9.3e-05,0.455,162000.0
5100.0,0.003,222.0,0.141,2.86,1000.0,0.24,1.936,9.3e-05,0.459,163000.0
5150.0,0.003,220.0,0.143,2.86,1000.0,0.25,2.004,9.3e-05,0.459,165000.0
5200.0,0.003,223.0,0.141,2.87,1000.0,0.25,1.859,9.3e-05,0.464,166000.0
5250.0,0.003,223.0,0.141,2.86,1000.0,0.25,2.018,9.3e-05,0.456,168000.0
5300.0,0.003,219.0,0.143,2.86,1000.0,0.25,1.79,9.3e-05,0.461,170000.0
5350.0,0.003,216.0,0.145,2.86,1000.0,0.26,1.88,9.3e-05,0.454,171000.0
5400.0,0.003,221.0,0.142,2.86,1000.0,0.26,1.827,9.2e-05,0.459,173000.0
5450.0,0.003,218.0,0.144,2.86,1000.0,0.26,1.708,9.2e-05,0.468,174000.0
5500.0,0.003,222.0,0.141,2.86,1000.0,0.26,1.93,9.2e-05,0.448,176000.0
5550.0,0.003,219.0,0.143,2.86,1000.0,0.27,1.816,9.2e-05,0.454,178000.0
5600.0,0.003,221.0,0.142,2.86,1000.0,0.27,1.788,9.2e-05,0.457,179000.0
5650.0,0.003,220.0,0.142,2.86,1000.0,0.27,1.726,9.2e-05,0.455,181000.0
5700.0,0.003,221.0,0.142,2.86,1000.0,0.27,1.951,9.2e-05,0.45,182000.0
5750.0,0.003,220.0,0.143,2.86,1000.0,0.28,1.892,9.1e-05,0.455,184000.0
5800.0,0.002,220.0,0.143,2.86,1000.0,0.28,1.653,9.1e-05,0.449,186000.0
5850.0,0.003,221.0,0.142,2.86,1000.0,0.28,1.752,9.1e-05,0.439,187000.0
5900.0,0.003,218.0,0.144,2.86,1000.0,0.28,1.786,9.1e-05,0.45,189000.0
5950.0,0.003,221.0,0.142,2.86,1000.0,0.28,1.869,9.1e-05,0.453,190000.0
6000.0,0.003,220.0,0.143,2.86,1000.0,0.29,1.891,9.1e-05,0.448,192000.0
6050.0,0.003,221.0,0.142,2.86,1000.0,0.29,1.764,9.1e-05,0.45,194000.0
6100.0,0.003,220.0,0.143,2.86,1000.0,0.29,1.784,9e-05,0.453,195000.0
6150.0,0.003,223.0,0.141,2.86,1000.0,0.29,1.794,9e-05,0.442,197000.0
6200.0,0.003,221.0,0.142,2.86,1000.0,0.3,1.758,9e-05,0.441,198000.0
6250.0,0.002,220.0,0.143,2.86,1000.0,0.3,1.773,9e-05,0.443,200000.0
6300.0,0.003,222.0,0.141,2.86,1000.0,0.3,1.876,9e-05,0.44,202000.0
6350.0,0.003,223.0,0.141,2.86,1000.0,0.3,1.794,9e-05,0.449,203000.0
6400.0,0.002,223.0,0.141,2.87,1000.0,0.31,1.793,9e-05,0.446,205000.0
6450.0,0.003,221.0,0.142,2.86,1000.0,0.31,1.728,8.9e-05,0.45,206000.0
6500.0,0.003,218.0,0.144,2.86,1000.0,0.31,1.728,8.9e-05,0.435,208000.0
