task_id,instruction,k,successes,trials,success_rate,ci95_low,ci95_high
0,open the middle drawer of the cabinet,1,3,20,0.15,0.052368745896216595,0.36041886474075696
0,open the middle drawer of the cabinet,2,7,20,0.35,0.18119182410108206,0.5671457233147638
0,open the middle drawer of the cabinet,3,9,20,0.45,0.2581978582556243,0.6579146575496577
1,put the bowl on the stove,1,16,20,0.8,0.5839825677481064,0.919342337420202
1,put the bowl on the stove,2,18,20,0.9,0.6989663547715128,0.9721335187862319
1,put the bowl on the stove,3,19,20,0.95,0.763868806553258,0.9911185511992047
2,put the wine bottle on top of the cabinet,1,15,20,0.75,0.531299122381256,0.8881382985923343
2,put the wine bottle on top of the cabinet,2,18,20,0.9,0.6989663547715128,0.9721335187862319
2,put the wine bottle on top of the cabinet,3,15,20,0.75,0.531299122381256,0.8881382985923343
3,open the top drawer and put the bowl inside,1,3,20,0.15,0.052368745896216595,0.36041886474075696
3,open the top drawer and put the bowl inside,2,9,20,0.45,0.2581978582556243,0.6579146575496577
3,open the top drawer and put the bowl inside,3,8,20,0.4,0.21880653237281705,0.6134184992377469
4,put the bowl on top of the cabinet,1,15,20,0.75,0.531299122381256,0.8881382985923343
4,put the bowl on top of the cabinet,2,16,20,0.8,0.5839825677481064,0.919342337420202
4,put the bowl on top of the cabinet,3,16,20,0.8,0.5839825677481064,0.919342337420202
5,push the plate to the front of the stove,1,14,20,0.7,0.4810271816464765,0.8545227551323956
5,push the plate to the front of the stove,2,14,20,0.7,0.4810271816464765,0.8545227551323956
5,push the plate to the front of the stove,3,14,20,0.7,0.4810271816464765,0.8545227551323956
6,put the cream cheese in the bowl,1,4,20,0.2,0.08065766257979806,0.41601743225189364
6,put the cream cheese in the bowl,2,7,20,0.35,0.18119182410108206,0.5671457233147638
6,put the cream cheese in the bowl,3,17,20,0.85,0.6395811352592431,0.9476312541037835
7,turn on the stove,1,17,20,0.85,0.6395811352592431,0.9476312541037835
7,turn on the stove,2,20,20,1.0,0.8388748419471806,1.0
7,turn on the stove,3,20,20,1.0,0.8388748419471806,1.0
8,put the bowl on the plate,1,9,20,0.45,0.2581978582556243,0.6579146575496577
8,put the bowl on the plate,2,15,20,0.75,0.531299122381256,0.8881382985923343
8,put the bowl on the plate,3,19,20,0.95,0.763868806553258,0.9911185511992047
9,put the wine bottle on the rack,1,14,20,0.7,0.4810271816464765,0.8545227551323956
9,put the wine bottle on the rack,2,17,20,0.85,0.6395811352592431,0.9476312541037835
9,put the wine bottle on the rack,3,19,20,0.95,0.763868806553258,0.9911185511992047
