task_id,instruction,k,successes,trials,success_rate,ci95_low,ci95_high
0,open the middle drawer of the cabinet,5,18,20,0.9,0.6989663547715128,0.9721335187862319
0,open the middle drawer of the cabinet,10,19,20,0.95,0.763868806553258,0.9911185511992047
0,open the middle drawer of the cabinet,25,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,5,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,10,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,25,18,20,0.9,0.6989663547715128,0.9721335187862319
2,put the wine bottle on top of the cabinet,5,19,20,0.95,0.763868806553258,0.9911185511992047
2,put the wine bottle on top of the cabinet,10,18,20,0.9,0.6989663547715128,0.9721335187862319
2,put the wine bottle on top of the cabinet,25,16,20,0.8,0.5839825677481064,0.919342337420202
3,open the top drawer and put the bowl inside,5,11,20,0.55,0.34208534245034233,0.7418021417443759
3,open the top drawer and put the bowl inside,10,12,20,0.6,0.3865815007622531,0.781193467627183
3,open the top drawer and put the bowl inside,25,15,20,0.75,0.531299122381256,0.8881382985923343
4,put the bowl on top of the cabinet,5,18,20,0.9,0.6989663547715128,0.9721335187862319
4,put the bowl on top of the cabinet,10,18,20,0.9,0.6989663547715128,0.9721335187862319
4,put the bowl on top of the cabinet,25,14,20,0.7,0.4810271816464765,0.8545227551323956
5,push the plate to the front of the stove,5,12,20,0.6,0.3865815007622531,0.781193467627183
5,push the plate to the front of the stove,10,17,20,0.85,0.6395811352592431,0.9476312541037835
5,push the plate to the front of the stove,25,18,20,0.9,0.6989663547715128,0.9721335187862319
6,put the cream cheese in the bowl,5,10,20,0.5,0.2992980081982123,0.7007019918017877
6,put the cream cheese in the bowl,10,11,20,0.55,0.34208534245034233,0.7418021417443759
6,put the cream cheese in the bowl,25,16,20,0.8,0.5839825677481064,0.919342337420202
7,turn on the stove,5,20,20,1.0,0.8388748419471806,1.0
7,turn on the stove,10,20,20,1.0,0.8388748419471806,1.0
7,turn on the stove,25,20,20,1.0,0.8388748419471806,1.0
8,put the bowl on the plate,5,19,20,0.95,0.763868806553258,0.9911185511992047
8,put the bowl on the plate,10,20,20,1.0,0.8388748419471806,1.0
8,put the bowl on the plate,25,18,20,0.9,0.6989663547715128,0.9721335187862319
9,put the wine bottle on the rack,5,19,20,0.95,0.763868806553258,0.9911185511992047
9,put the wine bottle on the rack,10,20,20,1.0,0.8388748419471806,1.0
9,put the wine bottle on the rack,25,15,20,0.75,0.531299122381256,0.8881382985923343
