task_id,instruction,k,successes,trials,success_rate,ci95_low,ci95_high
0,open the middle drawer of the cabinet,1,0,20,0.0,0.0,0.16112515805281938
0,open the middle drawer of the cabinet,2,9,20,0.45,0.2581978582556243,0.6579146575496577
0,open the middle drawer of the cabinet,3,15,20,0.75,0.531299122381256,0.8881382985923343
0,open the middle drawer of the cabinet,5,17,20,0.85,0.6395811352592431,0.9476312541037835
0,open the middle drawer of the cabinet,10,18,20,0.9,0.6989663547715128,0.9721335187862319
0,open the middle drawer of the cabinet,25,17,20,0.85,0.6395811352592431,0.9476312541037835
1,put the bowl on the stove,1,17,20,0.85,0.6395811352592431,0.9476312541037835
1,put the bowl on the stove,2,17,20,0.85,0.6395811352592431,0.9476312541037835
1,put the bowl on the stove,3,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,5,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,10,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,25,19,20,0.95,0.763868806553258,0.9911185511992047
2,put the wine bottle on top of the cabinet,1,16,20,0.8,0.5839825677481064,0.919342337420202
2,put the wine bottle on top of the cabinet,2,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,3,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,5,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,10,19,20,0.95,0.763868806553258,0.9911185511992047
2,put the wine bottle on top of the cabinet,25,17,20,0.85,0.6395811352592431,0.9476312541037835
3,open the top drawer and put the bowl inside,1,10,20,0.5,0.2992980081982123,0.7007019918017877
3,open the top drawer and put the bowl inside,2,4,20,0.2,0.08065766257979806,0.41601743225189364
3,open the top drawer and put the bowl inside,3,4,20,0.2,0.08065766257979806,0.41601743225189364
3,open the top drawer and put the bowl inside,5,7,20,0.35,0.18119182410108206,0.5671457233147638
3,open the top drawer and put the bowl inside,10,16,20,0.8,0.5839825677481064,0.919342337420202
3,open the top drawer and put the bowl inside,25,10,20,0.5,0.2992980081982123,0.7007019918017877
4,put the bowl on top of the cabinet,1,12,20,0.6,0.3865815007622531,0.781193467627183
4,put the bowl on top of the cabinet,2,18,20,0.9,0.6989663547715128,0.9721335187862319
4,put the bowl on top of the cabinet,3,16,20,0.8,0.5839825677481064,0.919342337420202
4,put the bowl on top of the cabinet,5,18,20,0.9,0.6989663547715128,0.9721335187862319
4,put the bowl on top of the cabinet,10,18,20,0.9,0.6989663547715128,0.9721335187862319
4,put the bowl on top of the cabinet,25,16,20,0.8,0.5839825677481064,0.919342337420202
5,push the plate to the front of the stove,1,14,20,0.7,0.4810271816464765,0.8545227551323956
5,push the plate to the front of the stove,2,15,20,0.75,0.531299122381256,0.8881382985923343
5,push the plate to the front of the stove,3,16,20,0.8,0.5839825677481064,0.919342337420202
5,push the plate to the front of the stove,5,11,20,0.55,0.34208534245034233,0.7418021417443759
5,push the plate to the front of the stove,10,13,20,0.65,0.43285427668523624,0.818808175898918
5,push the plate to the front of the stove,25,17,20,0.85,0.6395811352592431,0.9476312541037835
6,put the cream cheese in the bowl,1,1,20,0.05,0.008881448800795402,0.23613119344674205
6,put the cream cheese in the bowl,2,5,20,0.25,0.11186170140766569,0.468700877618744
6,put the cream cheese in the bowl,3,11,20,0.55,0.34208534245034233,0.7418021417443759
6,put the cream cheese in the bowl,5,12,20,0.6,0.3865815007622531,0.781193467627183
6,put the cream cheese in the bowl,10,12,20,0.6,0.3865815007622531,0.781193467627183
6,put the cream cheese in the bowl,25,11,20,0.55,0.34208534245034233,0.7418021417443759
7,turn on the stove,1,16,20,0.8,0.5839825677481064,0.919342337420202
7,turn on the stove,2,20,20,1.0,0.8388748419471806,1.0
7,turn on the stove,3,19,20,0.95,0.763868806553258,0.9911185511992047
7,turn on the stove,5,20,20,1.0,0.8388748419471806,1.0
7,turn on the stove,10,20,20,1.0,0.8388748419471806,1.0
7,turn on the stove,25,20,20,1.0,0.8388748419471806,1.0
8,put the bowl on the plate,1,6,20,0.3,0.1454772448676043,0.5189728183535235
8,put the bowl on the plate,2,17,20,0.85,0.6395811352592431,0.9476312541037835
8,put the bowl on the plate,3,16,20,0.8,0.5839825677481064,0.919342337420202
8,put the bowl on the plate,5,16,20,0.8,0.5839825677481064,0.919342337420202
8,put the bowl on the plate,10,19,20,0.95,0.763868806553258,0.9911185511992047
8,put the bowl on the plate,25,17,20,0.85,0.6395811352592431,0.9476312541037835
9,put the wine bottle on the rack,1,5,20,0.25,0.11186170140766569,0.468700877618744
9,put the wine bottle on the rack,2,10,20,0.5,0.2992980081982123,0.7007019918017877
9,put the wine bottle on the rack,3,5,20,0.25,0.11186170140766569,0.468700877618744
9,put the wine bottle on the rack,5,12,20,0.6,0.3865815007622531,0.781193467627183
9,put the wine bottle on the rack,10,19,20,0.95,0.763868806553258,0.9911185511992047
9,put the wine bottle on the rack,25,14,20,0.7,0.4810271816464765,0.8545227551323956
