task_id,instruction,k,alpha,n_action_steps,successes,trials,success_rate,ci95_low,ci95_high
0,open the middle drawer of the cabinet,1,0.0,50,3,20,0.15,0.052368745896216595,0.36041886474075696
0,open the middle drawer of the cabinet,1,0.01,50,2,20,0.1,0.027866481213768224,0.3010336452284873
0,open the middle drawer of the cabinet,1,0.03,50,4,20,0.2,0.08065766257979806,0.41601743225189364
0,open the middle drawer of the cabinet,1,0.05,50,4,20,0.2,0.08065766257979806,0.41601743225189364
1,put the bowl on the stove,1,0.0,50,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,1,0.01,50,17,20,0.85,0.6395811352592431,0.9476312541037835
1,put the bowl on the stove,1,0.03,50,17,20,0.85,0.6395811352592431,0.9476312541037835
1,put the bowl on the stove,1,0.05,50,18,20,0.9,0.6989663547715128,0.9721335187862319
2,put the wine bottle on top of the cabinet,1,0.0,50,15,20,0.75,0.531299122381256,0.8881382985923343
2,put the wine bottle on top of the cabinet,1,0.01,50,16,20,0.8,0.5839825677481064,0.919342337420202
2,put the wine bottle on top of the cabinet,1,0.03,50,19,20,0.95,0.763868806553258,0.9911185511992047
2,put the wine bottle on top of the cabinet,1,0.05,50,19,20,0.95,0.763868806553258,0.9911185511992047
