task_id,instruction,k,n_action_steps,successes,trials,success_rate,ci95_low,ci95_high
0,open the middle drawer of the cabinet,1,50,3,20,0.15,0.052368745896216595,0.36041886474075696
0,open the middle drawer of the cabinet,1,25,0,20,0.0,0.0,0.16112515805281938
0,open the middle drawer of the cabinet,2,50,17,20,0.85,0.6395811352592431,0.9476312541037835
0,open the middle drawer of the cabinet,2,25,14,20,0.7,0.4810271816464765,0.8545227551323956
0,open the middle drawer of the cabinet,3,50,12,20,0.6,0.3865815007622531,0.781193467627183
0,open the middle drawer of the cabinet,3,25,14,20,0.7,0.4810271816464765,0.8545227551323956
1,put the bowl on the stove,1,50,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,1,25,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,2,50,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,2,25,18,20,0.9,0.6989663547715128,0.9721335187862319
1,put the bowl on the stove,3,50,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,3,25,20,20,1.0,0.8388748419471806,1.0
2,put the wine bottle on top of the cabinet,1,50,13,20,0.65,0.43285427668523624,0.818808175898918
2,put the wine bottle on top of the cabinet,1,25,14,20,0.7,0.4810271816464765,0.8545227551323956
2,put the wine bottle on top of the cabinet,2,50,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,2,25,15,20,0.75,0.531299122381256,0.8881382985923343
2,put the wine bottle on top of the cabinet,3,50,15,20,0.75,0.531299122381256,0.8881382985923343
2,put the wine bottle on top of the cabinet,3,25,15,20,0.75,0.531299122381256,0.8881382985923343
