task_id,instruction,k,n_action_steps,successes,trials,success_rate,ci95_low,ci95_high
0,open the middle drawer of the cabinet,1,50,7,20,0.35,0.18119182410108206,0.5671457233147638
0,open the middle drawer of the cabinet,1,35,4,20,0.2,0.08065766257979806,0.41601743225189364
0,open the middle drawer of the cabinet,1,25,2,20,0.1,0.027866481213768224,0.3010336452284873
0,open the middle drawer of the cabinet,2,50,16,20,0.8,0.5839825677481064,0.919342337420202
0,open the middle drawer of the cabinet,2,35,13,20,0.65,0.43285427668523624,0.818808175898918
0,open the middle drawer of the cabinet,2,25,13,20,0.65,0.43285427668523624,0.818808175898918
0,open the middle drawer of the cabinet,3,50,13,20,0.65,0.43285427668523624,0.818808175898918
0,open the middle drawer of the cabinet,3,35,16,20,0.8,0.5839825677481064,0.919342337420202
0,open the middle drawer of the cabinet,3,25,17,20,0.85,0.6395811352592431,0.9476312541037835
0,open the middle drawer of the cabinet,5,50,18,20,0.9,0.6989663547715128,0.9721335187862319
0,open the middle drawer of the cabinet,5,35,18,20,0.9,0.6989663547715128,0.9721335187862319
0,open the middle drawer of the cabinet,5,25,19,20,0.95,0.763868806553258,0.9911185511992047
0,open the middle drawer of the cabinet,10,50,17,20,0.85,0.6395811352592431,0.9476312541037835
0,open the middle drawer of the cabinet,10,35,16,20,0.8,0.5839825677481064,0.919342337420202
0,open the middle drawer of the cabinet,10,25,18,20,0.9,0.6989663547715128,0.9721335187862319
0,open the middle drawer of the cabinet,25,50,15,20,0.75,0.531299122381256,0.8881382985923343
0,open the middle drawer of the cabinet,25,35,19,20,0.95,0.763868806553258,0.9911185511992047
0,open the middle drawer of the cabinet,25,25,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,1,50,18,20,0.9,0.6989663547715128,0.9721335187862319
1,put the bowl on the stove,1,35,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,1,25,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,2,50,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,2,35,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,2,25,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,3,50,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,3,35,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,3,25,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,5,50,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,5,35,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,5,25,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,10,50,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,10,35,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,10,25,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,25,50,19,20,0.95,0.763868806553258,0.9911185511992047
1,put the bowl on the stove,25,35,20,20,1.0,0.8388748419471806,1.0
1,put the bowl on the stove,25,25,20,20,1.0,0.8388748419471806,1.0
2,put the wine bottle on top of the cabinet,1,50,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,1,35,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,1,25,16,20,0.8,0.5839825677481064,0.919342337420202
2,put the wine bottle on top of the cabinet,2,50,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,2,35,13,20,0.65,0.43285427668523624,0.818808175898918
2,put the wine bottle on top of the cabinet,2,25,15,20,0.75,0.531299122381256,0.8881382985923343
2,put the wine bottle on top of the cabinet,3,50,18,20,0.9,0.6989663547715128,0.9721335187862319
2,put the wine bottle on top of the cabinet,3,35,14,20,0.7,0.4810271816464765,0.8545227551323956
2,put the wine bottle on top of the cabinet,3,25,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,5,50,16,20,0.8,0.5839825677481064,0.919342337420202
2,put the wine bottle on top of the cabinet,5,35,13,20,0.65,0.43285427668523624,0.818808175898918
2,put the wine bottle on top of the cabinet,5,25,15,20,0.75,0.531299122381256,0.8881382985923343
2,put the wine bottle on top of the cabinet,10,50,19,20,0.95,0.763868806553258,0.9911185511992047
2,put the wine bottle on top of the cabinet,10,35,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,10,25,19,20,0.95,0.763868806553258,0.9911185511992047
2,put the wine bottle on top of the cabinet,25,50,18,20,0.9,0.6989663547715128,0.9721335187862319
2,put the wine bottle on top of the cabinet,25,35,17,20,0.85,0.6395811352592431,0.9476312541037835
2,put the wine bottle on top of the cabinet,25,25,19,20,0.95,0.763868806553258,0.9911185511992047
