series,k=0,k=1,k=2,k=3,k=5,k=10,k=25,auc_raw,auc_normalized,auc_log2_normalized
mean_all_10,0.005,0.550,0.705,0.780,0.830,0.875,0.850,20.457,0.8183,0.6892
mean_tasks_0_2,0.000,0.567,0.717,0.717,0.950,0.950,0.900,21.933,0.8773,0.7281
task_0,0.000,0.150,0.350,0.450,0.900,0.950,1.000,21.325,0.8530,0.5959
task_1,0.000,0.800,0.900,0.950,1.000,1.000,0.900,23.375,0.9350,0.8308
task_2,0.000,0.750,0.900,0.750,0.950,0.900,0.800,21.100,0.8440,0.7576
task_3,0.000,0.150,0.450,0.400,0.550,0.600,0.750,14.750,0.5900,0.4351
task_4,0.050,0.750,0.800,0.800,0.900,0.900,0.700,20.175,0.8070,0.7366
task_5,0.000,0.700,0.700,0.700,0.600,0.850,0.900,19.800,0.7920,0.6702
task_6,0.000,0.200,0.350,0.850,0.500,0.550,0.800,15.075,0.6030,0.4684
task_7,0.000,0.850,1.000,1.000,1.000,1.000,1.000,24.350,0.9740,0.8683
task_8,0.000,0.450,0.750,0.950,0.950,1.000,0.900,22.700,0.9080,0.7480
task_9,0.000,0.700,0.850,0.950,0.950,1.000,0.750,21.925,0.8770,0.7810
